2025-03-19 00:17:52 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:17:52 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:18:16 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:18:16 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:19:36 [INFO]: Cached train 16402 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 21960s
2025-03-19 00:19:36 [INFO]: Cached train 16404 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 23760s
2025-03-19 00:19:36 [INFO]: Cached train 16406 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 25560s
2025-03-19 00:19:36 [INFO]: Cached train 16408 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 27360s
2025-03-19 00:19:36 [INFO]: Cached train 16410 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 29160s
2025-03-19 00:19:36 [INFO]: Cached train 16412 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 30960s
2025-03-19 00:19:36 [INFO]: Cached train 16414 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 32760s
2025-03-19 00:19:37 [INFO]: Cached train 16416 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 34560s
2025-03-19 00:19:37 [INFO]: Cached train 16418 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 36360s
2025-03-19 00:19:37 [INFO]: Cached train 16420 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 38160s
2025-03-19 00:19:37 [INFO]: Cached train 16422 - Status: COMPLETED, Delay: 1 min, Coordinates: (38.98791, -8.966062), TTL: 39960s
2025-03-19 00:19:37 [INFO]: Cached train 16424 - Status: COMPLETED, Delay: 7 min, Coordinates: (38.9857599, -8.9678094), TTL: 41760s
2025-03-19 00:19:37 [INFO]: Cached train 16426 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 43560s
2025-03-19 00:19:38 [INFO]: Cached train 16428 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 45360s
2025-03-19 00:19:38 [INFO]: Cached train 16430 - Status: COMPLETED, Delay: 3 min, Coordinates: (38.98791, -8.966062), TTL: 47160s
2025-03-19 00:19:38 [INFO]: Cached train 16432 - Status: COMPLETED, Delay: 1 min, Coordinates: (38.9862572, -8.9671724), TTL: 48960s
2025-03-19 00:19:38 [INFO]: Cached train 16434 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.98791, -8.966062), TTL: 50760s
2025-03-19 00:19:38 [INFO]: Cached train 16436 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791244, -8.966061218), TTL: 52560s
2025-03-19 00:19:38 [INFO]: Cached train 16438 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.98791244, -8.966061218), TTL: 54360s
2025-03-19 00:19:39 [INFO]: Cached train 16440 - Status: COMPLETED, Delay: 5 min, Coordinates: (38.9856283, -8.9677115), TTL: 56160s
2025-03-19 00:19:39 [INFO]: Cached train 16442 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.98791, -8.966062), TTL: 57960s
